time,voltage,current
4.45E+03,1.60E+04,-1.32E+03
4.47E+03,1.58E+04,-3.80E+03
4.48E+03,1.58E+04,-3.81E+03
4.49E+03,1.58E+04,-3.82E+03
4.50E+03,1.57E+04,-3.82E+03
4.51E+03,1.57E+04,-3.83E+03
4.52E+03,1.57E+04,-3.83E+03
4.53E+03,1.57E+04,-3.83E+03
4.54E+03,1.57E+04,-3.84E+03
4.55E+03,1.57E+04,-3.84E+03
4.56E+03,1.57E+04,-3.84E+03
4.57E+03,1.56E+04,-3.85E+03
4.58E+03,1.56E+04,-3.85E+03
4.59E+03,1.56E+04,-3.85E+03
4.60E+03,1.56E+04,-3.86E+03
4.61E+03,1.56E+04,-3.86E+03
4.62E+03,1.56E+04,-3.86E+03
4.63E+03,1.56E+04,-3.87E+03
4.64E+03,1.56E+04,-3.87E+03
4.65E+03,1.55E+04,-3.87E+03
4.66E+03,1.55E+04,-3.88E+03
4.67E+03,1.55E+04,-3.88E+03
4.68E+03,1.55E+04,-4.02E+03
4.69E+03,1.55E+04,-3.88E+03
4.70E+03,1.55E+04,-3.89E+03
4.71E+03,1.55E+04,-3.89E+03
4.72E+03,1.55E+04,-3.89E+03
4.73E+03,1.55E+04,-3.89E+03
4.75E+03,1.54E+04,-3.90E+03
4.76E+03,1.54E+04,-3.90E+03
4.77E+03,1.54E+04,-3.90E+03
4.78E+03,1.54E+04,-3.90E+03
4.79E+03,1.54E+04,-3.91E+03
4.80E+03,1.54E+04,-3.91E+03
4.81E+03,1.54E+04,-3.91E+03
4.82E+03,1.54E+04,-3.91E+03
4.83E+03,1.54E+04,-3.91E+03
4.84E+03,1.54E+04,-3.92E+03
4.85E+03,1.54E+04,-3.92E+03
4.86E+03,1.53E+04,-3.92E+03
4.87E+03,1.53E+04,-3.93E+03
4.88E+03,1.53E+04,-3.93E+03
4.89E+03,1.53E+04,-3.93E+03
4.90E+03,1.53E+04,-3.93E+03
4.91E+03,1.53E+04,-3.93E+03
4.92E+03,1.53E+04,-3.94E+03
4.93E+03,1.53E+04,-3.94E+03
4.94E+03,1.53E+04,-3.94E+03
4.95E+03,1.53E+04,-4.23E+03
4.96E+03,1.53E+04,-3.94E+03
4.97E+03,1.53E+04,-3.95E+03
4.98E+03,1.52E+04,-3.99E+03
4.99E+03,1.52E+04,-3.95E+03
5.00E+03,1.52E+04,-3.95E+03
5.02E+03,1.52E+04,-3.95E+03
5.03E+03,1.52E+04,-3.96E+03
5.04E+03,1.52E+04,-3.96E+03
5.05E+03,1.52E+04,-3.96E+03
5.06E+03,1.52E+04,-3.96E+03
5.07E+03,1.52E+04,-3.96E+03
5.08E+03,1.52E+04,-3.96E+03
5.09E+03,1.52E+04,-3.96E+03
5.10E+03,1.52E+04,-3.96E+03
5.11E+03,1.52E+04,-3.96E+03
5.12E+03,1.52E+04,-3.97E+03
5.13E+03,1.52E+04,-3.97E+03
5.14E+03,1.52E+04,-3.97E+03
5.15E+03,1.51E+04,-3.98E+03
5.16E+03,1.51E+04,-3.97E+03
5.17E+03,1.51E+04,-3.98E+03
5.18E+03,1.51E+04,-3.98E+03
5.19E+03,1.51E+04,-3.98E+03
5.20E+03,1.51E+04,-3.98E+03
5.21E+03,1.51E+04,-3.98E+03
5.22E+03,1.51E+04,-3.98E+03
5.23E+03,1.51E+04,-3.98E+03
5.24E+03,1.51E+04,-3.99E+03
5.25E+03,1.51E+04,-3.99E+03
5.26E+03,1.51E+04,-3.99E+03
5.27E+03,1.51E+04,-3.99E+03
5.28E+03,1.51E+04,-3.99E+03
5.30E+03,1.51E+04,-4.00E+03
5.31E+03,1.51E+04,-4.00E+03
5.32E+03,1.51E+04,-4.00E+03
5.33E+03,1.51E+04,-4.00E+03
5.34E+03,1.50E+04,-4.00E+03
