Product type : SPD1305X
Product SRLN : SPD13DCQ7R0934
Product Software Version : 2.1.1.9R1
Number of channels : 1
Software Version : V1.0.2
File type: CSV
File version: 1.0
Interval : 0.5S
Date : 2025-03-25 11:10:47

Time,CH1 VOLT,CH1 CURR
0.000,0.000,0.000
0.528,0.000,0.000
1.055,0.000,0.000
1.572,0.000,0.000
2.107,0.000,0.000
2.638,0.000,0.000
3.170,0.000,0.000
3.686,0.000,0.000
4.218,0.000,0.000
4.745,0.000,0.000
5.274,0.000,0.000
5.805,0.000,0.000
6.334,0.000,0.000
6.869,29.996,0.000
7.388,30.000,0.022
7.921,30.000,0.034
8.439,30.000,0.120
8.959,30.000,0.394
9.476,30.000,0.392
9.991,30.000,0.010
10.523,30.000,0.021
11.051,30.000,0.420
11.571,30.000,0.412
12.101,30.000,0.404
12.630,30.000,0.396
13.160,30.000,0.397
13.687,30.000,0.406
14.218,30.000,0.393
14.737,30.000,0.390
15.254,30.000,0.384
15.786,30.000,0.390
16.314,30.000,0.406
16.833,30.000,0.390
17.363,30.000,0.241
17.880,30.000,0.242
18.409,30.000,0.199
18.943,30.000,0.196
19.461,30.000,0.239
19.995,30.000,0.247
20.526,30.000,0.245
21.057,30.000,0.275
21.589,30.000,0.251
22.110,30.000,0.244
22.626,30.000,0.244
23.159,30.000,0.253
23.688,30.000,0.245
24.204,30.000,0.252
24.738,30.000,0.274
25.260,30.000,0.252
25.786,30.000,0.251
26.312,30.000,0.251
26.846,30.000,0.249
27.375,30.000,0.249
27.907,30.000,0.244
28.426,30.000,0.248
28.941,30.000,0.250
29.473,30.000,0.272
30.015,30.000,0.243
30.532,30.000,0.241
31.051,30.000,0.262
31.570,30.000,0.243
32.088,30.000,0.251
32.608,30.000,0.243
33.130,30.000,0.275
33.648,30.000,0.248
34.181,30.000,0.244
34.698,30.000,0.243
35.231,30.000,0.271
35.756,30.000,0.252
36.277,30.000,0.244
36.796,30.000,0.238
37.311,30.000,0.238
37.841,30.000,0.255
38.379,30.000,0.239
38.896,30.000,0.243
39.426,30.000,0.252
39.956,30.000,0.220
40.482,30.000,0.225
40.990,30.000,0.244
41.510,30.000,0.271
42.041,30.000,0.236
42.562,30.000,0.237
43.093,30.000,0.244
43.611,30.000,0.270
44.126,30.000,0.245
44.654,30.000,0.237
45.171,30.000,0.219
45.690,30.000,0.255
46.221,30.000,0.268
46.741,30.000,0.230
47.260,30.000,0.233
47.778,30.000,0.228
48.312,30.000,0.271
